city,hotel_description,hotel_facilities,property_name
Jaisalmer,"The standard check-in time is 12:00 PM and the standard check-out time is 09:00 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly  peace be maintained in room,T.V. be used up to reasonable sound level. alcohol  drinking not allowed, also drunk not allowed to stay in hotel,food eating in room  are not allowed . pates are not allowed in the hotel. original photo Id is must,",Laundry Service Available|Front Desk|Multi Cuisine Restaurant |Internet Access Free|Room Service (24 Hours),Desert Haveli Guest House
Coorg,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Hotel may charge on compulsory gala dinner supplement on Christmas / New Year's eve or other festive periods. Any such supplements need to be paid directly at the hotel.,"Doctor on Call|Dry Cleaning|Golf Course|Internet Access - Surcharge|Parking Facilities Available|Front Desk|Locker Facility|24 Hour Front Desk|Luggage Storage|Welcome Drinks|Power Backup|Gardens|Conference Facility |Kitchen available (home cook food on request)|Cell Phone Rental|Pick Up and Drop (Rly Station, Bus Stand, Temple)|Veranda|Transfers Available| Bike on Rent|Car Rental|Taxi Services|Campfire / Bon Fire|Food Facility|Newspapers In Lobby|Children's Park|Family Room|Room Service (24 Hours)|Parking (Surcharge)|Parking Facility|Room Service",Coorg Live in  Estate stay
Hampi,The standard check-in time is 12:00 PM and the standard check-out time is 11:00 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly ID cards are mandatory during the time check in.,Doctor on Call|Front Desk|Room Service (24 Hours)|Room Service|First-Aid Kit at Front Desk|Public Restrooms,Clarks Inn
Pondicherry,The standard check-in time is 02:00 PM and the standard check-out time is 10:00 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly If Cancelled Before 31 days it will be Full Refund        If cancelled from 31 days to 15 Days it will be 50% Refund If cancelled from 14 days to day of arrival or No Show it will be NO Refund,Swimming Pool|Banquet Facilities|Bar / Lounge |Business Center |Disabled Friendly Facilities |Doctor on Call|Dry Cleaning|Laundry Service Available|Front Desk|Multi Cuisine Restaurant |Locker Facility|Gardens|Conference Facility |Smoking Area |Room Service,Club Mahindra Puducherry
Chennai,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly,Internet Access - Surcharge|Laundry Service Available|Lift / Elevator|Lobby|Non Smoking Rooms|Parking Facilities Available|Pets Allowed|Front Desk|Multi Cuisine Restaurant |Locker Facility|Secretarial Services|Non Smoking Hotel|Fitness Equipment|Parking Facility|Internet Access|Restaurant|Room Service,Colors Apart Hotel
Amritsar,The standard check-in time is 02:00 PM and the standard check-out time is 11:00 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly 02 Children upto the age of 5 are complimentary in the room (without extra bed),Swimming Pool|Airport Transfer Available / Surcharge|Banquet Facilities|Bar / Lounge |Business Center |Doctor on Call|Health Club / Gym Facility Available|Internet Access - Surcharge|Laundry Service Available|Lift / Elevator|Front Desk|Room Service (24 Hours)|Parking Facility,Country Inn and Suites By Carlson Amritsar
Goa,The standard check-in time is 12:00 PM and the standard check-out time is 11:30 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Hotel may charge compulsory gala dinner supplement on Christmas / New Year's eve or other festive periods. Any such supplements need to be paid directly at the hotel.,,Clarem Guest House
Corbett,The standard check-in time is 02:00 PM and the standard check-out time is 10:00 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly,Swimming Pool|Business Center |Currency Exchange|Doctor on Call|Dry Cleaning|Games Zone|Health Club / Gym Facility Available|Laundry Service Available|Lobby|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Spa On Site - Chargeable|Major Credit Cards Accepted|24 Hour Front Desk|Welcome Drinks|Power Backup|Conference Facility |Food Facility|Newspapers In Lobby|Room Service (24 Hours)|Parking Facility,Club Mahindra Corbett
Ooty,"The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly ALL GUESTS ARE REQUIRED TO PRESENT PROPER PHOTO IDENTIFICATION UPON CHECK IN. 2.The identity proof would include a valid Driving license/voter identity card/PAN card, etc. Valid Passport mandatory for all Foreign guests. 3.Booking rates will not be valid for Christmas and New year dates High season and long weekend dates extra supplement will be charged over and above the paid rates as per actual and hotel discretion.",Barbecue Area|Laundry Service Available|Parking Facilities Available|Multi Cuisine Restaurant |Gardens|Kitchen available (home cook food on request)|Veranda|Open Air Restaurant / Dining |Campfire / Bon Fire|Newspapers In Lobby|Room Service (24 Hours)|Outdoor Parking - Secured|Parking Facility|Restaurant,Country Tavern
Goa,The standard check-in time is 11:00 AM and the standard check-out time is 10:00 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Original Id prof is required before check in,Airport Transfer Available / Surcharge|Doctor on Call|Laundry Service Available|Lobby|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Gardens|Suitable For Children|Separate Sitting Area|Coffee Shop / Cafe|Smoking Rooms|ATM / Banking|Smoking Area |Extra Person / Child - Share the same room|Taxi Services|Food Facility|Newspapers In Lobby|Family Room|Spa Services Nearby|Parking Facility|Restaurant|Room Service,Damysharina Guest House
Corbett,"The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly **** Compulsory Supplement Charges to be Paid **** Mandatory New Year Gala Dinner Charges on 31st Dec at Rs.3500  per person and INR 1750/- per adult (above 11 years) and INR 1200/- per child (age 7 to 11 years),to be paid at the hotel directly at the time of check in.",Swimming Pool|Banquet Facilities|Doctor on Call|Health Club / Gym Facility Available|Laundry Service Available|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Table Tennis|Local Tour / Travel Desk|Major Credit Cards Accepted|24 Hour Front Desk|Power Backup|Wedding Services Facility|Wake-up Call / Service|Pool Table|Safari|Badminttion Court|Internet Access Free|Room Service (24 Hours)|Party hall|Baggage Room|Parking Facility,Corbett Blue Sky Resort (A Unit of Orawar Hotels &amp; Resorts)
Jaisalmer,The standard check-in time is 03:00 AM and the standard check-out time is 11:00 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly,Parking Facilities Available|Hookah Lounge|Gardens|Dance Performances (on demand)|Conference Facility |Kitchen available (home cook food on request)|Veg / Non Veg Kitchens Separate |Vegetarian Food / Jain Food Available|Car Rental|Food Facility|Air / Rail Booking|Guide / Sightseeing Service|Courtesy Coach|Parking Facility,Desert Safari Camps
Hyderabad,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly,Doctor on Call|Laundry Service Available|Lobby|Parking Facilities Available|Food Facility,Country Spa Kuteeram
Delhi,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly,Beauty Salon - on charge|Billiards|Bowling|Business Center,Delhi Bed and Breakfast
Indore,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Guest has to carry valid ID proof and has to present that at time of  Check-In.,Banquet Facilities|Bar / Lounge |Business Center |Health Club / Gym Facility Available|Multi Cuisine Restaurant |Open Air Restaurant / Dining |Internet Access Free|Newspapers In Lobby,Country Inn By Carlson Indore
Gwalior,The standard check-in time is 02:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Government ID cards are mandatory during the time of check in.,Health Club / Gym Facility Available|Front Desk|Multi Cuisine Restaurant |24 Hour Front Desk|Power Backup|Room Service (24 Hours)|Restaurant|Room Service|First-Aid Kit at Front Desk|Public Restrooms,Clarks INN Suite
Chikmagalur,The standard check-in time is 02:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly We do not allow unmarried / unrelated couples to checkin. This is at full discretion of the hotel management. No refund would be applicable in case the checkin is denied under such circumstances,Doctor on Call|Parking Facilities Available|Front Desk|24 Hour Front Desk|Internet Access Free|Newspapers In Lobby|Room Service (24 Hours)|Parking Facility|Internet Access|Room Service|Fire Safety|CCTV|First-Aid Kit at Front Desk|Full Time Operation for All 7 Days,Coffee Tranquil Homestay
Coorg,The standard check-in time is 02:00 PM and the standard check-out time is 10:00 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly If Cancelled Before 31 days it will be Full Refund        If cancelled from 31 days to 15 Days it will be 50% Refund If cancelled from 14 days to day of arrival or No Show it will be NO Refund,Swimming Pool|Games Zone|Health Club / Gym Facility Available|Internet Access - Surcharge|Laundry Service Available|Parking Facilities Available|Multi Cuisine Restaurant |Local Tour / Travel Desk|Major Credit Cards Accepted,Club Mahindra madikeri Coorg
Chennai,The standard check-in time is 01:00 AM and the standard check-out time is 11:45 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly,24 Hour Front Desk|Luggage Storage|Newspapers In Lobby|Room Service,Day Dream Hotelz
Una,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Valid ID proof is required at the time of check in for all guests.,Laundry Service Available|Parking Facilities Available|Front Desk|Power Backup|Food Facility|Room Service|Porter Services Available|Public Restrooms,Deluxe Home Stay Gagret
Ghaziabad,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Hotel may charge compulsory gala dinner supplement on Christmas / New Year's eve or other festive periods. Any such supplements need to be paid directly at the hotel. Local ID is not allowed to some Government Order.,Bar / Lounge |Concierge|Currency Exchange|Doctor on Call|Dry Cleaning|Health Club / Gym Facility Available|Laundry Service Available|Lift / Elevator|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Locker Facility|Local Tour / Travel Desk|Major Credit Cards Accepted|24 Hour Front Desk|Luggage Storage|Air-Conditioning - Central|Power Backup|Express Check-In / Check-Out|Multi Lingual Staff|Porter / Bellhop|Coffee Shop / Cafe|Conference Facility |Smoking Rooms|Smoking Area |Room Service (24 Hours)|Parking Facility|Smoke Detector,Clarks Inn Suites
pachmarhi,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly,,Dev Daru Bangalow
Gurgaon,"The standard check-in time is 02:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly 2 pieces Ironing per night. It is compulsory to give the Aadhar card or Driving license or Passport or Election card as a valid proof. PAN Card will NOT be considered as valid identity proof. Cancel before 48 hours in order to avoid any retention charges. If cancelled within 48 hours, 1 night retention to be charged. No refunds would be made against any No Shows. Extra Child (5-12 years without bed) wiil be chargeble.  Extra Child (below 5 years) will be Complimentary","Airport Transfer Available / Surcharge|Banquet Facilities|Bar / Lounge |Business Center |Concierge|Currency Exchange|Disabled Friendly Facilities |Doctor on Call|Dry Cleaning|Gift Shop |Health Club / Gym Facility Available|Internet Access - Surcharge|Laundry Service Available|Lift / Elevator|Non Smoking Rooms|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Local Tour / Travel Desk|Valet service|24 Hour Front Desk|Medical Assistance Available|Air-Conditioning - Central|Welcome Drinks|Power Backup|Multi Lingual Staff|Wake-up Call / Service|Fitness Equipment|Suitable For Children|Coffee Shop / Cafe|Conference Facility |Smoking Rooms|Electronic / Magnetic Keys|Wheelchair Accessibility - Room|Pick Up and Drop (Rly Station, Bus Stand, Temple)|Smoking Area |Vegetarian Food / Jain Food Available|Extra Person / Child - Share the same room|Car Rental|Taxi Services|Board Room|Newspapers In Lobby|Room Service (24 Hours)|STD / ISD",Citrus Hotels Gurgaon Central
Bahadurgarh,"The standard check-in time is 02:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Booking rates will not be valid for Christmas and New year dates, High season and long weekend dates extra supplement will be charged over and above the paid rates as per actual and hotel discretion.",Doctor on Call|Parking Facilities Available|Local Tour / Travel Desk|Medical Assistance Available|Parking Facility,Deep Hotel
Alleppey,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly We do not allow unmarried / unrelated couples to checkin. This is at full discretion of the hotel management. No refund would be applicable in case the checkin is denied under such circumstances),Doctor on Call|Lobby|Non Smoking Rooms|Front Desk|Extra Person / Child - Share the same room|Family Room|Room Service (24 Hours)|Adjoining Rooms|RO Water Purification System|Room Service|Fire Safety|Fire Exit Signs|First-Aid Kit at Front Desk,Clove Spice Routes Luxury Cruise
Srinagar,"The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Booking rates will not be valid for Christmas and New year dates, High season and long weekend dates  extra supplement will be charged over and above the paid rates as per actual and hotel discretion.",Doctor on Call|Front Desk|Parking Facility|Room Service,Dalgoma Houseboat
Munnar,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly 1.Mandatory Christmas Eve Dinner Supplement Charges on 24th Dec at Rs.2000 per person (pay at check in) 2.Mandatory New Year Eve Dinner Supplement Charges on 31st Dec sat Rs.2500 per person (pay at check in),Airport Transfer Available / Surcharge|Banquet Facilities|Business Center |Doctor on Call|Internet Access - Surcharge|Lift / Elevator|Lobby|Non Smoking Rooms|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Locker Facility|Power Backup|Conference Facility |Internet Access Free|Parking Facility|Room Service,Clouds Valley Leisure Hotel
Ernakulam,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Valid ID proof is required at the time of check in for all guests.,Doctor on Call|Parking Facilities Available|Outdoor Parking - Secured|Parking Facility|Public Restrooms,Cochin City Residency
Wayanad,"The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Booking rates will not be valid for Christmas and New year dates, High season and long weekend dates  extra supplement will be charged over and above the paid rates as per actual and hotel discretion.",Doctor on Call|Parking Facilities Available|Front Desk|Medical Assistance Available,D'SILVA COTTAGES
Manali,The standard check-in time is 12:00 PM and the standard check-out time is 10:00 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly we respects the privacy of all its customer and business partners. Arrival and Departure policy as below :-  Check in 1200 and Check out 1100 Hours  Early in Check and Late Check out Subjected to availability.,"Airport Transfer Available / Surcharge|Babysitting/ Child Care (surcharge)|Barbecue Area|Beauty Salon - on charge|Currency Exchange|Doctor on Call|Dry Cleaning|Gift Shop |Internet Access - Surcharge|Laundry Service Available|Library|Lobby|Non Smoking Rooms|Parking Facilities Available|Front Desk|Locker Facility|Non Smoking Hotel|Local Tour / Travel Desk|Major Credit Cards Accepted|24 Hour Front Desk|Luggage Storage|Medical Assistance Available|Welcome Drinks|Power Backup|Gardens|Audio - Visual Equipment|Computer Rental|Wedding Services Facility|Translation Services|Multi Lingual Staff|Exhibit Space|Wake-up Call / Service|Suitable For Children|Separate Sitting Area|Coffee Shop / Cafe|Conference Facility |Smoking Rooms|Access Via Exterior Corridors|ATM / Banking|Fax Machine|Kitchen available (home cook food on request)|Multi - Line Phone|Fire Place Available |Free Local Calls|Picnic Area|Cell Phone Rental|Massage Services |Pick Up and Drop (Rly Station, Bus Stand, Temple)|Skiing Facility Available|Nature Walk|Smoking Area |Veranda|Open Air Restaurant / Dining | Bike on Rent|Veg / Non Veg Kitchens Separate |Horse Ride ( Chargeable ) |Shopping Drop Facility (on fixed timings)|In House Events |Vegetarian Food / Jain Food Available|Extra Person / Child - Share the same room|Village Visit ( Chargeable )|Car Rental|Express Laundry|Kids Play Zone|Oxygen Cylinder (on request)|Meditation Room|Water Dispenser Available|Self Check - In|Taxi Services|Board Room|Campfire / Bon Fire|Food Facility| Drivers Rest Room|Newspapers In Lobby|Yoga Hall / Classes|Children's Park|Postal / Parcel Services|Family Room|Room Service (24 Hours)| Cook Services|Air / Rail Booking|STD / ISD|Baggage Room|Courier Service|Guide / Sightseeing Service|Laptop Available on Hire|Internet / Fax (Reception area only)|Adjoining Rooms|Outdoor Parking - Secured|Outdoor Parking - Non Secured|Parking Facility|Internet Access|Restaurant|Room Service|Fishing|Ayurvedic Facilities |Trekking|Fire Safety|CCTV|Fire Exit Signs|First-Aid Kit at Front Desk|Flower Shop|Full Time Operation for All 7 Days|Paid Transfers|Public Restrooms|Speciality Restaurant |Stamps and Mailing Facility|Suites",Country Cottage Manali
Golaghat,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly We do not allow unmarried,Doctor on Call|Parking Facilities Available|Room Service|Public Restrooms,DEUTA'S COTTAGE
Bangalore,"The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly As per the Government directives it is Mandatory for all the guest to show their ID proof at the time of check in, PAN card will not be accepted as ID proof Pets are not allowed",Swimming Pool|Bar / Lounge |Business Center |Health Club / Gym Facility Available|Laundry Service Available|Lift / Elevator|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Locker Facility|Power Backup|Room Service (24 Hours)|Outdoor Parking - Secured|Parking Facility|Room Service,"Country Inn &amp; Suites By Carlson, Bengaluru Hebbal"
Pune,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly we need id proof at the time of check in. unmarried couples not allowed,Currency Exchange|Doctor on Call|Laundry Service Available|Parking Facilities Available|Front Desk|Major Credit Cards Accepted|24 Hour Front Desk|Power Backup|Newspapers In Lobby|Room Service (24 Hours)|Parking Facility,Comfort Inn Service Apartment
Jaisalmer,"The standard check-in time is 03:00 PM and the standard check-out time is 10:00 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Hotel May Charge Dinner Supplement for Festive, Christmas and New Year Gala's Dinner charges that need to be paid while on Check-IN.",Concierge|Currency Exchange|Doctor on Call|Laundry Service Available|Front Desk|Local Tour / Travel Desk|Valet service|Welcome Drinks|Power Backup|Dance Performances (on demand)|Free Local Calls|Safari|Camel Ride| Bike on Rent|Vegetarian Food / Jain Food Available|Village Visit ( Chargeable )|Car Rental|Taxi Services|Campfire / Bon Fire| Drivers Rest Room|Guide / Sightseeing Service|Adjoining Rooms|Outdoor Parking - Secured|Restaurant|Recreation Zone,Desert Adventure Camp
Jaisalmer,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Athithi Devo Bhava,"Swimming Pool|Airport Transfer Available / Surcharge|Ballroom|Banquet Facilities|Bar / Lounge |Barbecue Area|Beauty Salon - on charge|Billiards|Business Center |Currency Exchange|Disabled Friendly Facilities |Doctor on Call|Health Club / Gym Facility Available|Laundry Service Available|Lobby|Non Smoking Rooms|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Locker Facility|Secretarial Services|Non Smoking Hotel|Spa On Site - Chargeable|Valet service|Major Credit Cards Accepted|24 Hour Front Desk|Luggage Storage|Doorman|Medical Assistance Available|Welcome Drinks|Power Backup|Gardens|Audio - Visual Equipment|Computer Rental|Wedding Services Facility|Exhibit Space|Wake-up Call / Service|Fitness Equipment|Porter / Bellhop|Suitable For Children|Separate Sitting Area|Conference Facility |Disabled Friendly Rooms|Fax Machine|Wheelchair Accessibility - Room|Pool Table|Massage Services |Poolside Bar|Safari|Pick Up and Drop (Rly Station, Bus Stand, Temple)|Nature Walk|Smoking Area |Camel Ride|Veranda|Open Air Restaurant / Dining |Transfers Available|Veg / Non Veg Kitchens Separate |In House Events |Vegetarian Food / Jain Food Available|Extra Person / Child - Share the same room|Car Rental|Express Laundry|Kids Play Zone|Oxygen Cylinder (on request)|Taxi Services|Board Room|City Shuttle Service|Campfire / Bon Fire| Drivers Rest Room|Internet Access Free|Newspapers In Lobby|Postal / Parcel Services|Family Room|Spa Services Nearby|Party hall|Air / Rail Booking|STD / ISD|Baggage Room|Courier Service|Guide / Sightseeing Service|Adjoining Rooms|RO Water Purification System|Outdoor Parking - Secured|Parking Facility",Desert Tulip Hotels and Resort
Bangalore,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly,Doctor on Call|Multi - Line Phone|STD / ISD,Dass Suites
Corbett,The standard check-in time is 12:00 PM and the standard check-out time is 10:00 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Hotel may charge compulsory gala dinner supplement on Christmas / New Year's eve or other festive periods. Any such supplements need to be paid directly at the hotel.,"Swimming Pool|Babysitting/ Child Care (surcharge)|Banquet Facilities|Billiards|Concierge|Currency Exchange|Games Zone|Gift Shop |Laundry Service Available|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Locker Facility|Table Tennis|Local Tour / Travel Desk|24 Hour Front Desk|Luggage Storage|Power Backup|Gardens|Wake-up Call / Service|Suitable For Children|Separate Sitting Area|Coffee Shop / Cafe|Conference Facility |Kitchen available (home cook food on request)|Wheelchair Accessibility - Room|Pool Table|Massage Services |Safari|Pick Up and Drop (Rly Station, Bus Stand, Temple)|Nature Walk|Vegetarian Food / Jain Food Available|Village Visit ( Chargeable )|Car Rental|Kids Play Zone|City Shuttle Service|Campfire / Bon Fire| Drivers Rest Room|Newspapers In Lobby|Party hall|Air / Rail Booking|Baggage Room|Adjoining Rooms|RO Water Purification System|Outdoor Parking - Secured|Parking Facility",Corbett View Resort
Alleppey,"The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Booking rates will not be valid for Christmas and New year dates, High season and long weekend dates  extra supplement will be charged over and above the paid rates as per actual and hotel discretion.",Doctor on Call|Lobby|Parking Facilities Available|Front Desk|24 Hour Front Desk|Medical Assistance Available|Room Service (24 Hours)|RO Water Purification System|Outdoor Parking - Secured|Room Service|First-Aid Kit at Front Desk|Public Restrooms,CYRUS RESORTS
Ernakulam,"The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Booking rates will not be valid for Christmas  New year dates, High season  long weekend dates  extra supplement will be charged over above the paid rates as per actual  hotel discretion.",Doctor on Call|Parking Facilities Available|Front Desk|Locker Facility|24 Hour Front Desk|Luggage Storage|Doorman|Medical Assistance Available|Food Facility|Family Room|Baggage Room|Adjoining Rooms|Outdoor Parking - Secured|Parking Facility|Room Service|First-Aid Kit at Front Desk,DEVAA SERVICE APARTMENT
Coorg,The standard check-in time is 02:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly We do not allow unmarried / unrelated couples to checkin. This is at full discretion of the hotel management. No refund would be applicable in case the checkin is denied under such circumstances,Doctor on Call|Non Smoking Rooms|Smoking Rooms|Extra Person / Child - Share the same room,Coorg Dreams
Kodaikanal,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly We do not allow unmarried / unrelated couples to checkin. This is at full discretion of the hotel management. No refund would be applicable in case the checkin is denied under such circumstances,Doctor on Call|Lobby|Parking Facilities Available|Front Desk|Local Tour / Travel Desk|24 Hour Front Desk|Doorman|Power Backup,DALETHORPE
Gurgaon,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Hotel may charge compulsory gala dinner supplement on Christmas / New Year's eve or other festive periods. Any such supplements need to be paid directly at the hotel.,Doctor on Call|Laundry Service Available|Parking Facilities Available|Valet service|Power Backup|Taxi Services,Corporate Prime
Bangalore,The standard check-in time is 02:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly We do not allow unmarried / unrelated couples to checkin. This is at full discretion of the hotel management. No refund would be applicable in case the checkin is denied under such circumstances 1.   not allowed unmarried couple 2.   not allowed local person 3.   not allowed room for drinking and gambling porpose. 4.   allow married couple if they show both i.d proof.,Concierge|Disabled Friendly Facilities |Doctor on Call|Dry Cleaning|Non Smoking Rooms|Parking Facilities Available|Smoking Rooms|Extra Person / Child - Share the same room|Outdoor Parking - Secured|Parking Facility|Room Service,CORPORATE STAY
Navi Mumbai,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Hotel may charge compulsory gala dinner supplement on Christmas / New Year's eve or other festive periods. Any such supplements need to be paid directly at the hotel.Valid Id proof is required at the time of check in. Please carry a valid id proof at the time of check in.,Parking Facilities Available,Darshan lodge
